freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.909e+02,2.042e+01,1.573e+01,2.271e+02
1.6,1.312e+02,3.993e+01,5.902e+01,2.301e+02
3.2,6.920e+01,1.164e+02,6.445e+01,2.501e+02
4.8,5.037e+02,1.141e+02,6.719e+01,6.850e+02
6.4,1.495e+03,4.700e+01,7.265e+01,1.615e+03
8.0,2.534e+03,3.949e+01,7.586e+01,2.650e+03
9.6,3.733e+03,3.595e+01,7.567e+01,3.844e+03
11.2,5.088e+03,3.168e+01,7.731e+01,5.197e+03
12.9,6.786e+03,3.639e+01,8.512e+01,6.907e+03
14.5,8.837e+03,6.043e+01,8.521e+01,8.982e+03
16.1,1.017e+04,6.887e+01,1.073e+02,1.034e+04
17.7,1.031e+04,5.579e+01,1.221e+02,1.049e+04
19.3,1.208e+04,4.434e+01,1.396e+02,1.226e+04
20.9,1.463e+04,4.200e+01,1.354e+02,1.481e+04
22.5,1.739e+04,3.745e+01,9.586e+01,1.752e+04
24.1,2.122e+04,4.126e+01,8.767e+01,2.134e+04
25.7,2.526e+04,4.058e+01,8.908e+01,2.539e+04
27.3,2.922e+04,3.964e+01,9.090e+01,2.935e+04
28.9,3.355e+04,4.378e+01,8.978e+01,3.368e+04
30.5,3.787e+04,5.282e+01,8.332e+01,3.801e+04
32.1,4.273e+04,5.772e+01,7.864e+01,4.287e+04
33.7,5.000e+04,6.705e+01,9.372e+01,5.016e+04
35.4,5.974e+04,8.415e+01,1.446e+02,5.997e+04
37.0,7.264e+04,1.038e+02,2.349e+02,7.298e+04
38.6,9.203e+04,1.697e+02,3.705e+02,9.257e+04
40.2,1.341e+05,1.405e+03,6.108e+02,1.361e+05
41.8,2.022e+05,5.393e+03,1.162e+03,2.088e+05
43.4,2.381e+05,8.121e+03,1.739e+03,2.480e+05
45.0,2.328e+05,8.845e+03,2.228e+03,2.439e+05
46.6,2.143e+05,1.004e+04,2.699e+03,2.270e+05
48.2,1.931e+05,1.517e+04,3.335e+03,2.117e+05
49.8,1.614e+05,2.604e+04,3.845e+03,1.913e+05
