freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.291e+01,6.474e+02,3.789e+01,7.082e+02
1.6,3.742e+01,3.913e+02,7.475e+01,5.035e+02
3.2,3.742e+01,7.634e+01,7.577e+01,1.895e+02
4.8,4.128e+01,5.577e+02,6.759e+01,6.665e+02
6.4,3.482e+01,1.749e+03,6.697e+01,1.850e+03
8.0,3.651e+01,2.909e+03,7.315e+01,3.018e+03
9.6,3.985e+01,4.186e+03,7.513e+01,4.301e+03
11.2,4.193e+01,6.230e+03,8.008e+01,6.352e+03
12.9,6.712e+01,8.887e+03,7.696e+01,9.031e+03
14.5,1.091e+02,1.062e+04,8.174e+01,1.081e+04
16.1,1.105e+02,1.216e+04,7.447e+01,1.235e+04
17.7,9.171e+01,1.318e+04,7.406e+01,1.334e+04
19.3,6.023e+01,1.511e+04,7.507e+01,1.524e+04
20.9,5.656e+01,1.845e+04,7.945e+01,1.859e+04
22.5,8.264e+01,2.405e+04,9.863e+01,2.423e+04
24.1,1.296e+02,3.098e+04,1.044e+02,3.121e+04
25.7,2.070e+02,3.582e+04,1.196e+02,3.615e+04
27.3,2.726e+02,4.227e+04,1.607e+02,4.270e+04
28.9,3.228e+02,5.273e+04,1.753e+02,5.322e+04
30.5,4.053e+02,6.807e+04,1.892e+02,6.866e+04
32.1,6.443e+02,8.775e+04,3.276e+02,8.872e+04
33.7,1.117e+03,1.142e+05,5.578e+02,1.159e+05
35.4,1.630e+03,1.406e+05,6.732e+02,1.429e+05
37.0,1.882e+03,1.629e+05,8.677e+02,1.657e+05
38.6,2.467e+03,1.961e+05,1.314e+03,1.999e+05
40.2,3.794e+03,2.523e+05,2.226e+03,2.584e+05
41.8,6.930e+03,3.554e+05,3.623e+03,3.660e+05
43.4,1.156e+04,4.891e+05,5.142e+03,5.058e+05
45.0,1.432e+04,6.524e+05,7.707e+03,6.744e+05
46.6,1.547e+04,8.692e+05,1.275e+04,8.974e+05
48.2,1.642e+04,1.104e+06,2.218e+04,1.143e+06
49.8,2.417e+04,1.298e+06,3.401e+04,1.356e+06
51.4,3.337e+04,1.558e+06,4.791e+04,1.639e+06
53.0,3.325e+04,1.897e+06,6.611e+04,1.997e+06
54.6,3.097e+04,1.877e+06,7.679e+04,1.985e+06
56.2,2.785e+04,1.407e+06,6.875e+04,1.504e+06
57.8,2.523e+04,8.237e+05,5.119e+04,9.001e+05
59.5,2.737e+04,5.406e+05,4.565e+04,6.136e+05
61.1,3.035e+04,4.308e+05,4.942e+04,5.105e+05
62.7,2.703e+04,3.872e+05,5.823e+04,4.724e+05
64.3,2.297e+04,3.696e+05,7.178e+04,4.643e+05
65.9,2.004e+04,3.527e+05,8.901e+04,4.618e+05
67.5,1.702e+04,3.024e+05,1.038e+05,4.231e+05
69.1,1.490e+04,2.695e+05,1.266e+05,4.110e+05
70.7,1.495e+04,2.999e+05,1.111e+05,4.260e+05
72.3,1.904e+04,3.014e+05,5.262e+04,3.731e+05
73.9,2.296e+04,1.712e+05,2.113e+04,2.153e+05
75.5,2.273e+04,1.113e+05,1.872e+04,1.528e+05
77.1,2.118e+04,8.875e+04,2.263e+04,1.326e+05
78.7,1.986e+04,3.012e+04,1.388e+04,6.386e+04
80.3,1.828e+04,1.202e+04,9.964e+03,4.026e+04
81.9,1.599e+04,6.124e+03,7.524e+03,2.964e+04
83.6,1.396e+04,3.431e+03,5.644e+03,2.304e+04
85.2,1.386e+04,2.350e+03,5.108e+03,2.132e+04
86.8,1.385e+04,1.774e+03,4.926e+03,2.055e+04
88.4,1.403e+04,1.487e+03,4.821e+03,2.033e+04
90.0,1.420e+04,1.349e+03,4.934e+03,2.048e+04
91.6,1.444e+04,1.399e+03,5.130e+03,2.097e+04
93.2,1.485e+04,1.330e+03,5.089e+03,2.127e+04
94.8,1.467e+04,1.087e+03,4.565e+03,2.033e+04
96.4,1.353e+04,7.983e+02,3.353e+03,1.768e+04
98.0,1.173e+04,6.714e+02,2.236e+03,1.464e+04
99.6,9.914e+03,6.500e+02,1.441e+03,1.201e+04
101.2,8.938e+03,6.665e+02,1.099e+03,1.070e+04
102.8,8.117e+03,7.805e+02,8.956e+02,9.793e+03
104.4,6.967e+03,1.026e+03,1.065e+03,9.059e+03
